<Register>;<Description>;<min>;<max>;<divisor>;<comma>;<access>;<pcb>
2148;History: Summenstörung 25;0;2147483647;1;0;R;WP
2050;History: Zeit 01;0;235959;1;0;R;WP
2052;History: Zeit 02;0;235959;1;0;R;WP
2054;History: Zeit 03;0;235959;1;0;R;WP
2056;History: Zeit 04;0;235959;1;0;R;WP
2058;History: Zeit 05;0;235959;1;0;R;WP
2060;History: Zeit 06;0;235959;1;0;R;WP
2062;History: Zeit 07;0;235959;1;0;R;WP
2064;History: Zeit 08;0;235959;1;0;R;WP
2066;History: Zeit 09;0;235959;1;0;R;WP
2068;History: Zeit 10;0;235959;1;0;R;WP
2070;History: Zeit 11;0;235959;1;0;R;WP
2072;History: Zeit 12;0;235959;1;0;R;WP
2074;History: Zeit 13;0;235959;1;0;R;WP
2076;History: Zeit 14;0;235959;1;0;R;WP
2078;History: Zeit 15;0;235959;1;0;R;WP
2080;History: Zeit 16;0;235959;1;0;R;WP
2082;History: Zeit 17;0;235959;1;0;R;WP
2084;History: Zeit 18;0;235959;1;0;R;WP
2086;History: Zeit 19;0;235959;1;0;R;WP
2088;History: Zeit 20;0;235959;1;0;R;WP
2090;History: Zeit 21;0;235959;1;0;R;WP
2092;History: Zeit 22;0;235959;1;0;R;WP
2094;History: Zeit 23;0;235959;1;0;R;WP
2096;History: Zeit 24;0;235959;1;0;R;WP
2098;History: Zeit 25;0;235959;1;0;R;WP
222;Hochdruck Wärmepumpe;0;1;1;0;R;WP
1160;HW-Version;0;900;1;0;R;WP
1164;HW-Version SUB2;0;900;1;0;R;WP
5066;Hysterese: Brauchwasser Solltemperatur;2000;8000;1000;0;R/W;WP
7000;Information;0;2147483647;1;0;R;WP
232;Kontakt (EVU);0;1;1;0;R;WP
5192;Kühlung vorhanden?;0;1;1;0;R;WP
224;Niederdruck Wärmepumpe;0;1;1;0;R;WP
5168;Pelletofen vorhanden?;0;1;1;0;R;WP
5282;Pelletofen: Anlaufverzögerung;1;60;1;0;R;WP
5284;Pelletofen: Mindestlaufzeit;1;60;1;0;R;WP
200;Raum;-28000;100000;100;1;R/W;WP
5016;Raum-Soll;14000;26000;100;1;R/W;WP
226;Revisionstüre;0;1;1;0;R;WP
1158;SNR;1;999999;1;0;R;WP
5496;Sollwert-Erhöhung Funktion HEIZUNG+;300;2000;100;1;R/W;WP
1314;Status Wärmepumpe;0;12;1;0;R;WP
1316;Status Wärmepumpe Restzeit;0;3600;1;0;R;WP
828;Störung: Boilerfühler Elektroheizstab;0;1;1;0;R;WP
830;Störung: Boilerfühler Wärmepumpe;0;1;1;0;R;WP
810;Störung: Boilerübertemperatur;0;1;1;0;R;WP
806;Störung: Temperaturfühler Außenluft;0;1;1;0;R;WP
804;Störung: Temperaturfühler Raum;0;1;1;0;R;WP
808;Störung: Temperaturfühler Verdampferregister;0;1;1;0;R;WP
818;Störung: Wärmepumpe Hochdruck;0;1;1;0;R;WP
820;Störung: Wärmepumpe Niederdruck;0;1;1;0;R;WP
840;Störung: Wert nicht zulässig;0;3;1;0;R;WP
800;Summenstörung;0;2147483647;1;0;R;WP
7500;Summenstörung 2;0;2147483647;1;0;R;WP
1156;SW-Version;0;1000000;1;0;R;WP
1174;Tag;1;7;1;0;R;WP
206;Temperatur Sole: nach Außenluftvorwärmung;-28000;100000;100;1;R;WP
5206;Temperaturschwelle Frostschutz;-5000;0;100;1;R/W;WP
7508;Time-Out: Solltemperatur Raum;0;1;1;0;R;WP
7506;Time-Out: Temperaturfühler Raum;0;1;1;0;R;WP
5212;Uhrzeit;0;235959;1;0;R/W;WP
5442;Uhrzeit und Datum verschicken;0;1;1;0;R;WP
210;Verdampferregister;-28000;100000;100;1;R;WP
5374;Verzögerung Brauchwassererheizung\\(10 min);0;1;0;0;R/W;WP
1212;Vorübergehende Boilerübertemperatur;0;1;1;0;R;WP
7006;Vorübergehende Boilerübertemperatur;0;1;1;0;R;WP
1044;Wärmepumpe;0;1;1;0;R;WP
5494;Zeitspanne Funktion HEIZUNG+;180;14400;60;0;R/W;WP
5436;Zentralgerät Adresse;100;999999;1;0;R;WP
